date,cases,deaths
20/09/2020,6825949,199367
21/09/2020,6880899,199797
22/09/2020,6918290,200738
23/09/2020,6959841,201828
24/09/2020,7005043,202713
25/09/2020,7059624,203566
26/09/2020,7102321,204335
27/09/2020,7139619,204602
28/09/2020,7176979,204952
29/09/2020,7220676,205878
30/09/2020,7262734,206852
01/10/2020,7309152,207699
02/10/2020,7362732,208564
03/10/2020,7410511,209273
04/10/2020,7445574,209606
05/10/2020,7507956,210035
06/10/2020,7550841,210756
07/10/2020,7603856,211752
08/10/2020,7660231,212680
09/10/2020,7719190,213595
10/10/2020,7770838,214187
11/10/2020,7815621,214606
12/10/2020,7863637,214957
13/10/2020,7917996,215783
14/10/2020,7977889,216792
15/10/2020,8043229,217585
16/10/2020,8113706,218476
17/10/2020,8166467,219154
18/10/2020,8214349,219541
19/10/2020,8279780,220058
20/10/2020,8340387,220987
21/10/2020,8404616,222195
22/10/2020,8479704,223023
23/10/2020,8564812,223948
24/10/2020,8643568,224821
25/10/2020,8703280,225160
26/10/2020,8777723,225698
27/10/2020,8852176,226681
28/10/2020,8934078,227697
29/10/2020,9024844,228701
30/10/2020,9124628,229672
31/10/2020,9208926,230510
01/11/2020,9283162,230937
02/11/2020,9376821,231477
03/11/2020,9469433,232607
04/11/2020,9577346,234223
05/11/2020,9698875,235331
06/11/2020,9831722,236577
07/11/2020,9957654,237584
08/11/2020,10061070,238048
09/11/2020,10191410,238793
10/11/2020,10331156,240258
11/11/2020,10474016,241689
12/11/2020,10637418,242861
13/11/2020,10818612,244250
